symbol,model,date,exit_date,entry,stop,exit,qty,value,cost,exit_reason,hold_days,r_multiple,pnl,pct
PPLPHARMA,momentum,2024-09-02,2024-09-05,196.32279734171556,185.06653428294675,218.83532345925317,888,174334.6440394434,435.8366100986085,target,3,2.0,19555.286582274795,0.1121709726143152
INDUSTOWER,momentum,2024-09-02,2024-09-06,423.800506004821,404.3594328342481,404.3594328342481,471,199610.0383282707,499.0250958206767,stop,4,-1.0,-9655.770559160515,-0.04837317120936083
GRANULES,momentum,2024-09-02,2024-09-12,684.3279874999021,649.6612892773175,649.6612892773175,288,197086.4603999718,492.71615099992954,stop,8,-1.0,-10476.725239104298,-0.0531580161206538
KALYANKJIL,momentum,2024-09-02,2024-09-13,634.5960956101417,596.3049504396384,711.1783859511481,261,165629.58095424698,414.0739523856175,target,9,2.0,19573.90382661707,0.11817879218099396
DEEPAKFERT,momentum,2024-09-09,2024-09-16,1060.1253918710208,973.2028889517313,973.2028889517313,116,122974.54545703842,307.43636364259606,stop,5,-1.0,-10390.44670228018,-0.08449266198678586
OFSS,momentum,2024-09-16,2024-09-18,11362.755255769282,10815.066536777502,10815.066536777502,17,193166.83934807777,482.9170983701944,stop,2,-1.0,-9793.625321230451,-0.05070034460512546
GLENMARK,momentum,2024-09-02,2024-09-20,1686.2584344618056,1611.0330930087257,1611.0330930087257,118,198978.49526649306,497.44623816623266,stop,14,-1.0,-9374.036529629657,-0.047110802185306284
NATCOPHARM,momentum,2024-09-09,2024-09-20,1540.717188098715,1456.461025254068,1456.461025254068,119,183345.3453837471,458.36336345936775,stop,9,-1.0,-10484.846741972355,-0.0571863262742082
ICICIPRULI,momentum,2024-09-23,2024-09-25,786.5244276745339,762.0869310336376,762.0869310336376,248,195058.0580632844,487.64514515821105,stop,2,-1.0,-6548.144312100482,-0.0335702322534966
NEWGEN,momentum,2024-09-16,2024-09-26,1163.6089034397621,1074.1532713058352,1342.5201677076159,112,130324.19718525336,325.8104929631334,target,8,2.0,19712.25110503649,0.15125549614563058
NEULANDLAB,momentum,2024-09-23,2024-09-26,12366.884854192225,11686.93293802327,11686.93293802327,14,173136.38795869116,432.8409698967279,stop,3,-1.0,-9952.167796262098,-0.057481664678349406
GLENMARK,momentum,2024-09-23,2024-10-04,1714.085842576399,1630.1049957816879,1628.6306615459343,114,195405.78605370948,488.51446513427373,stop,8,-1.0175556009736064,-10230.40510260725,-0.05235466824813114
COLPAL,momentum,2024-09-30,2024-10-07,3649.824605634091,3534.3731331104177,3534.3731331104177,53,193440.7040986068,483.601760246517,stop,4,-1.0,-6602.529804001194,-0.034132060440782624
LALPATHLAB,momentum,2024-10-08,2024-10-14,1755.8282669750201,1686.169617154092,1686.169617154092,109,191385.2811002772,478.46320275069303,stop,4,-1.0,-8071.2560332318535,-0.04217281489375811
DIXON,momentum,2024-09-16,2024-10-15,13992.77250514242,13295.846496800292,15386.624521826678,14,195898.8150719939,489.7470376799847,target,20,2.0,19024.18119589962,0.09711228313917125
VIJAYA,momentum,2024-10-15,2024-10-17,1089.7902264189213,1004.612394283636,1004.612394283636,114,124236.08581175703,310.5902145293926,stop,2,-1.0,-10020.863077951912,-0.08065984220668027
BALRAMCHIN,momentum,2024-09-30,2024-10-22,636.4257079132075,609.7071322056929,609.7071322056929,308,196019.1180372679,490.0477950931698,stop,15,-1.0,-8719.369113007653,-0.044482238264891553
AJANTPHARM,momentum,2024-10-15,2024-10-22,3204.6717534993145,3021.139908255269,3021.139908255269,53,169847.60293546366,424.6190073386592,stop,5,-1.0,-10151.806805273076,-0.059770091716457245
WHIRLPOOL,momentum,2024-09-30,2024-10-25,2261.9492194254854,2151.6715339470675,2151.6715339470675,86,194527.63287059174,486.31908217647936,stop,18,-1.0,-9970.200033320418,-0.051253386915744915
JUBLPHARMA,momentum,2024-10-08,2024-10-25,1139.20865520616,1045.0779451644196,1045.0779451644196,102,116199.28283102832,290.49820707757084,stop,13,-1.0,-9891.8306313351,-0.0851281556162386
CARTRADE,momentum,2024-10-22,2024-11-01,975.0,915.0117903523751,1094.9764192952498,157,153075.0,382.6875,target,8,2.0,18453.61032935422,0.12055273773871775
JUBLPHARMA,momentum,2024-10-29,2024-11-01,1082.644475385634,1012.7845423843312,1223.4110903965197,132,142909.0707509037,357.27267687725924,target,3,2.014983538679612,18223.920504559657,0.12752109022054095
WOCKPHARMA,momentum,2024-10-22,2024-11-04,1054.949951171875,944.8776997556041,1275.0944540044168,86,90725.69580078125,226.81423950195312,target,9,2.0,18705.613004096638,0.20617767479205779
COHANCE,momentum,2024-10-15,2024-11-05,1207.699951171875,1140.0011960301433,1343.0974614553384,144,173908.79296875,434.771982421875,target,15,2.0,19062.469498396847,0.10961187857719315
GLENMARK,momentum,2024-11-05,2024-11-07,1719.1185977828134,1641.2373197613588,1641.2373197613588,116,199417.75734280635,498.5443933570159,stop,2,-1.0,-9532.77264384575,-0.047803028029537856
