symbol,model,date,exit_date,entry,stop,exit,qty,value,cost,exit_reason,hold_days,r_multiple,pnl,pct
BSE,trend_lowbeta,2024-09-02,2024-09-27,914.7308326745874,835.2299777810265,1207.0398644012496,125,114341.35408432342,285.85338521080854,stop,19,3.676803628313403,36252.775580621965,0.31705742748058235
SUZLON,trend_lowbeta,2024-09-02,2024-10-04,73.80999755859375,65.8208776676522,73.51522910092402,1251,92336.30694580078,230.84076736450197,stop,23,-0.036896236593464485,-599.5961079093375,-0.00649361153529008
TATAINVEST,trend_lowbeta,2024-09-02,2024-10-07,717.3703485960633,638.2005623748713,638.2005623748713,126,90388.66392310397,225.97165980775995,stop,24,-1.0,-10201.36472367795,-0.11286110758708107
KALYANKJIL,trend_lowbeta,2024-09-02,2024-10-07,634.59603568156,570.2479196866373,675.4198902956671,155,98362.3855306418,245.9059638266045,stop,24,0.6344219093738219,6081.79150135999,0.06183045956592212
NEULANDLAB,trend_lowbeta,2024-09-02,2024-10-07,12516.48363992779,11236.632841785755,11236.632841785755,7,87615.38547949454,219.03846369873634,stop,24,-1.0,-9177.994050692983,-0.10475322342604995
BLUESTARCO,trend_lowbeta,2024-09-02,2024-10-07,1651.9243762179844,1488.0611855387597,1907.3079742073887,61,100767.38694929706,251.91846737324263,stop,24,1.558517180892309,15326.481009980418,0.15209763271615068
NEULANDLAB,trend_lowbeta,2024-10-08,2024-10-21,11778.460196622775,10040.969059894907,13929.65844166537,5,58892.30098311388,147.2307524577847,stop,9,1.2381060251586906,10608.76047275519,0.18013832531007792
TRENT,trend_lowbeta,2024-09-02,2024-10-22,7164.270851131066,6613.865913500914,7490.519114838779,18,128956.87532035918,322.39218830089794,stop,35,0.5927422546614913,5550.076558437949,0.043038236966041976
OIL,trend_lowbeta,2024-09-30,2024-10-23,542.9008456387363,480.1159351846396,480.1159351846396,165,89578.63953039149,223.94659882597873,stop,16,-1.0,-10583.456823751932,-0.11814710380995758
TECHNOE,trend_lowbeta,2024-09-02,2024-10-25,1621.0556102704184,1408.844897685707,1455.9505569553025,47,76189.61368270966,190.47403420677415,stop,38,-0.7780241218935091,-7950.411540017218,-0.10435033275173923
GVT&D,trend_lowbeta,2024-09-02,2024-10-28,1702.6582839626915,1471.114418237425,1633.23845701677,43,73214.30621039573,183.03576552598935,stop,39,-0.29981285286257614,-3168.0883242006093,-0.043271438168060804
TORNTPOWER,trend_lowbeta,2024-09-02,2024-11-05,1716.877523690727,1539.0645217401463,1669.6504622721425,56,96145.1413266807,240.36285331670177,stop,45,-0.26559959564548763,-2885.078292757435,-0.030007530832520737
KALYANKJIL,trend_lowbeta,2024-10-08,2024-11-05,708.9244111030123,621.9497792874693,629.890042564957,119,84362.00492125846,210.90501230314615,stop,20,-0.908705985736996,-9615.99486833173,-0.1139849020575919
