as_of,model,rank,symbol,industry,score,setup,last_close,stop_ref,risk_pct,target_ref,reward_to_risk,why,risk_flags,regime,breadth_50dma,median_value_cr
2026-09-17,momentum,1,IPCALAB,Healthcare,0.764,Volatility contraction,1960.0,1884.84,0.0383,2110.32,2.0,6M momentum (ex-last month) +21%; RS vs Nifty 63D +31.9%; at 97% of 52W high; RVOL 0.8x; 0.2 ATR above 20DMA; sector rank 90%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,42.1
2026-09-17,momentum,2,DIVISLAB,Healthcare,0.706,Momentum continuation,9319.5,9005.31,0.0337,9947.89,2.0,6M momentum (ex-last month) +42%; RS vs Nifty 63D +43.2%; at 97% of 52W high; RVOL 0.6x; 0.9 ATR above 20DMA; sector rank 90%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,452.5
2026-09-17,momentum,3,PFOCUS,Media Entertainment & Publication,0.705,Breakout - grade B,334.95,314.02,0.0625,376.82,2.0,6M momentum (ex-last month) +11%; RS vs Nifty 63D +44.0%; at 91% of 52W high; RVOL 4.3x; 2.3 ATR above 20DMA; sector rank 100%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,21.1
2026-09-17,momentum,4,INDGN,Healthcare,0.702,Pullback in uptrend,580.65,558.15,0.0387,625.65,2.0,6M momentum (ex-last month) +33%; RS vs Nifty 63D +16.4%; at 94% of 52W high; RVOL 0.1x; -0.1 ATR above 20DMA; sector rank 90%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,21.0
2026-09-17,momentum,5,LAURUSLABS,Healthcare,0.697,Momentum continuation,1953.8,1877.6,0.039,2106.2,2.0,6M momentum (ex-last month) +81%; RS vs Nifty 63D +47.8%; at 99% of 52W high; RVOL 0.3x; 1.2 ATR above 20DMA; sector rank 90%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,417.1
2026-09-17,momentum,6,RAINBOW,Healthcare,0.689,Volatility contraction,1482.4,1431.61,0.0343,1583.97,2.0,6M momentum (ex-last month) +29%; RS vs Nifty 63D +6.1%; at 92% of 52W high; RVOL 0.8x; 1.0 ATR above 20DMA; sector rank 90%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,10.8
2026-09-17,momentum,7,NEULANDLAB,Healthcare,0.688,Pullback in uptrend,22790.0,21789.54,0.0439,24790.92,2.0,6M momentum (ex-last month) +93%; RS vs Nifty 63D +37.3%; at 94% of 52W high; RVOL 0.2x; -0.5 ATR above 20DMA; sector rank 90%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,89.5
2026-09-17,momentum,8,LALPATHLAB,Healthcare,0.686,Pullback in uptrend,1926.8,1845.85,0.042,2088.71,2.0,6M momentum (ex-last month) +41%; RS vs Nifty 63D +20.6%; at 95% of 52W high; RVOL 0.4x; 0.3 ATR above 20DMA; sector rank 90%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,32.1
2026-09-17,momentum,9,ANANDRATHI,Financial Services,0.685,Momentum continuation,2212.3,2155.22,0.0258,2326.46,2.0,6M momentum (ex-last month) +45%; RS vs Nifty 63D +26.9%; at 99% of 52W high; RVOL 0.1x; 0.4 ATR above 20DMA; sector rank 60%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,28.5
2026-09-17,momentum,10,AJANTPHARM,Healthcare,0.677,Pullback in uptrend,3509.4,3384.35,0.0356,3759.49,2.0,6M momentum (ex-last month) +23%; RS vs Nifty 63D +19.3%; at 92% of 52W high; RVOL 0.5x; -0.4 ATR above 20DMA; sector rank 90%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,18.2
2026-09-17,momentum,11,GLAND,Healthcare,0.672,Momentum continuation,2890.1,2752.21,0.0477,3165.89,2.0,6M momentum (ex-last month) +77%; RS vs Nifty 63D +36.9%; at 95% of 52W high; RVOL 0.2x; -0.0 ATR above 20DMA; sector rank 90%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,111.2
2026-09-17,momentum,12,AUROPHARMA,Healthcare,0.67,Momentum continuation,1681.0,1623.74,0.0341,1795.52,2.0,6M momentum (ex-last month) +27%; RS vs Nifty 63D +20.5%; at 98% of 52W high; RVOL 0.4x; 0.7 ATR above 20DMA; sector rank 90%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,106.4
2026-09-17,momentum,13,TBOTEK,Consumer Services,0.666,Pullback in uptrend,1657.0,1579.85,0.0466,1811.31,2.0,6M momentum (ex-last month) +47%; RS vs Nifty 63D +17.1%; at 94% of 52W high; RVOL 0.2x; -0.8 ATR above 20DMA; sector rank 95%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,20.5
2026-09-17,momentum,14,REDINGTON,Services,0.666,Momentum continuation,398.75,375.32,0.0588,445.61,2.0,6M momentum (ex-last month) +42%; RS vs Nifty 63D +55.1%; at 99% of 52W high; RVOL 0.6x; 1.9 ATR above 20DMA; sector rank 70%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,179.8
2026-09-17,momentum,15,SONACOMS,Automobile and Auto Components,0.665,Pullback in uptrend,784.0,751.29,0.0417,849.42,2.0,6M momentum (ex-last month) +70%; RS vs Nifty 63D +34.5%; at 93% of 52W high; RVOL 0.9x; -0.8 ATR above 20DMA; sector rank 65%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,125.5
2026-09-17,momentum,16,BOSCHLTD,Automobile and Auto Components,0.663,Momentum continuation,47925.0,46361.25,0.0326,51052.5,2.0,6M momentum (ex-last month) +63%; RS vs Nifty 63D +24.7%; at 96% of 52W high; RVOL 0.2x; -0.3 ATR above 20DMA; sector rank 65%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,139.7
2026-09-17,momentum,17,SAILIFE,Healthcare,0.657,Pullback in uptrend,1549.8,1474.26,0.0487,1700.89,2.0,6M momentum (ex-last month) +51%; RS vs Nifty 63D +33.0%; at 91% of 52W high; RVOL 0.2x; 0.3 ATR above 20DMA; sector rank 90%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,73.9
2026-09-17,momentum,18,AEGISLOG,Oil Gas & Consumable Fuels,0.657,Pullback in uptrend,1375.1,1278.48,0.0703,1568.34,2.0,6M momentum (ex-last month) +128%; RS vs Nifty 63D +42.1%; at 92% of 52W high; RVOL 0.2x; 1.0 ATR above 20DMA; sector rank 50%,"high volatility; bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,87.2
2026-09-17,momentum,19,APARINDS,Capital Goods,0.656,Pullback in uptrend,17429.0,16356.85,0.0615,19573.3,2.0,6M momentum (ex-last month) +92%; RS vs Nifty 63D +14.5%; at 95% of 52W high; RVOL 0.5x; 0.3 ATR above 20DMA; sector rank 30%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,181.3
2026-09-17,momentum,20,ANTHEM,Healthcare,0.655,Pullback in uptrend,917.4,876.7,0.0444,998.8,2.0,6M momentum (ex-last month) +40%; RS vs Nifty 63D +19.3%; at 94% of 52W high; RVOL 0.2x; -0.1 ATR above 20DMA; sector rank 90%,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,73.8
2026-09-17,reversal,1,ECLERX,Services,0.863,Confirmed reversal,1990.6,1810.84,0.0903,2440.0,2.5,fell 47% before basing; RS higher low +34.2%; 7.1 ATR above the low; 10 prior sessions tested the zone; capitulation RVOL 9.8x; up/down volume 20D 1.88,"bear regime - smaller size; check results date, pledge, news (not in v1 data)",bear,0.267,34.0
